Aspect Ratio:,Box Office (Gross USA):,Director:,Genre:,Original Language:,Producer:,Production Co:,Rating:,Release Date (Streaming):,Release Date (Theaters):,Runtime:,Sound Mix:,Title:,View the collection:,Writer:,url
,$178.2K,Ben Steinbauer,documentary,English,"Joel Heller,    James D. Payne,    Malcolm Pullinger,    Ben Steinbauer",Do Me a Kindness,,"Apr 17, 2017","Jul 9, 2010
 limited",1h 27m,,Winnebago Man,,"Malcolm Pullinger,    Ben Steinbauer",https://www.rottentomatoes.com/m/winnebago_man
,$246.6K,"Paul Fierlinger,    Sandra Fierlinger","drama,animation",English,"Howard Kaminsky,    Frank Pellegrino,    Norman Twain",,,"Jun 7, 2011","Sep 1, 2010
 limited",1h 21m,,My Dog Tulip,,"Paul Fierlinger,    Sandra Fierlinger",https://www.rottentomatoes.com/m/my-dog-tulip
,$144.0K,Mia Hansen-Løve,drama,French (Canada),"Oliver Damian,    Philippe Martin,    David Thion","Canal+,arte France Cinéma,Arte France Cinema,Les Films Pelleas",,"May 3, 2019","May 21, 2010
 limited",1h 50m,,The Father of My Children,,Mia Hansen-Løve,https://www.rottentomatoes.com/m/father_of_my_children
,$4.0M,Nicole Holofcener,"drama,comedy",English,Anthony Bregman,Likely Story,R (Nudity|Language|Some Sexual Content),"Sep 4, 2012","Apr 30, 2010
 limited",1h 30m,,Please Give,,Nicole Holofcener,https://www.rottentomatoes.com/m/0878835
,$58.4M,Will Gluck,comedy,English,"Zanne Devine,    Will Gluck",Olive Bridge Entertainment,PG-13 (Mature Thematic Elements|Language|Some Drug Material|Teen Sexuality),"Apr 16, 2012","Sep 17, 2010
 wide",1h 33m,"SDDS, Dolby Digital, DTS",Easy A,,Bert V. Royal,https://www.rottentomatoes.com/m/easy-a
,,Guillem Morales,"horror,mystery and thriller",Spanish (Spain),,Rodar y Rodar Cine y Television,,"Jul 1, 2016",,1h 52m,,Julia's Eyes,,"Guillem Morales,    Oriol Paulo",https://www.rottentomatoes.com/m/los_ojos_de_julia
,$31.5M,Edgar Wright,"action,romance",English,"Marc Platt,    Eric Gitter,    Nira Park,    Edgar Wright","Big Talk,Marc Platt Productions",PG-13 (Language|Drug References|Sexual Content|Stylized Violence),"Jun 15, 2012","Aug 13, 2010
 wide",1h 52m,"SDDS, Dolby Digital, DTS",Scott Pilgrim vs. the World,,"Michael Bacall,    Edgar Wright",https://www.rottentomatoes.com/m/scott_pilgrims_vs_the_world
,$15.5M,Roman Polanski,"drama,mystery and thriller",English,"Roman Polanski,    Robert Benmussa,    Alain Sarde","RP Films 11,Runteam III,Babelsberg Film GmbH",PG-13 (Brief Nudity|A Drug Reference|Language|Sexuality|Some Violence),"Aug 26, 2016","Mar 19, 2010
 wide",2h 9m,,The Ghost Writer,,"Roman Polanski,    Robert Harris",https://www.rottentomatoes.com/m/10012063-ghost_writer
,$9.2M,Aaron Schneider,"drama,comedy",English,"Dean Zanuck,    David Gundlach","Zanuck Company,Butcher's Run Films",PG-13 (Some Thematic Material|Brief Violence),"Apr 16, 2012","Aug 27, 2010
 wide",1h 42m,,Get Low,,"Chris Provenzano,    C. Gaby Mitchell",https://www.rottentomatoes.com/m/get_low
,$120.9K,Henrik Ruben Genz,"drama,mystery and thriller",Danish,"Thomas Gammeltoft,    Tina Dalhoff",,,"Mar 8, 2017","Feb 5, 2010
 limited",1h 40m,,Terribly Happy,,"Henrik Ruben Genz,    Dunja Gry Jensen",https://www.rottentomatoes.com/m/terribly_happy
,$52.5M,Toni Myers,documentary,English,,,G,"May 19, 2016","Mar 19, 2010
 limited",43m,,Hubble,,,https://www.rottentomatoes.com/m/hubble_3d
,$101.3K,Maren Ade,"drama,romance",German,"Maren Ade,    Dirk G. Engelhardt,    Janine Jackowski",Komplizen Film GbR,,"Jan 7, 2016","Apr 9, 2010
 limited",1h 59m,,Everyone Else,,Maren Ade,https://www.rottentomatoes.com/m/alle_anderen
,$302.8K,Claire Denis,drama,French (France),Pascal Caucheteux,,,"Apr 10, 2017","Nov 19, 2010
 limited",1h 45m,Dolby Digital,White Material,,"Claire Denis,    Marie N'Diaye",https://www.rottentomatoes.com/m/white_material
,$404.9K,Nash Edgerton,mystery and thriller,English,Louise Smith,Film Depot,R (Language|Violence),"Apr 16, 2012","Apr 9, 2010
 limited",1h 45m,,The Square,,"Joel Edgerton,    Matthew Dabner",https://www.rottentomatoes.com/m/the_square
,,Christian Carion,"drama,mystery and thriller",French (France),"Philippe Boeffard,    Bertrand Faivre,    Christophe Rossignon",,,"Apr 12, 2011","Jul 23, 2010
 limited",1h 53m,,Farewell,,"Christian Carion,    Eric Raynaud",https://www.rottentomatoes.com/m/farewell
,$55.8K,Ken Loach,"drama,comedy",English,"Timothy Brian Cole,    Rebecca O'Brien",Tornasol Films S.A.,,"Apr 10, 2017","May 14, 2010
 limited",1h 56m,,Looking for Eric,,Paul Laverty,https://www.rottentomatoes.com/m/looking_for_eric
,,Unknown Director,,,,,,,,,,Red Riding Trilogy,,,https://www.rottentomatoes.com/m/red_riding_trilogy
,$251.5M,"Chris Renaud,    Pierre Coffin","animation,comedy,kids and family,adventure",English,"Christopher Meledandri,    John Cohen,    Janet Healy","Chris Meledandri,Illumination Films",PG (Rude Humor|Mild Action),"Dec 1, 2015","Jul 9, 2010
 wide",1h 35m,"SDDS, Dolby Digital, DTS",Despicable Me,Despicable Me,"Cinco Paul,    Ken Daurio",https://www.rottentomatoes.com/m/1214097-despicable_me
,$541.0K,Don Argott,documentary,English,Sheena M. Joyce,9.14 Pictures,,"Mar 24, 2016","Feb 26, 2010
 limited",1h 41m,,The Art of the Steal,,,https://www.rottentomatoes.com/m/art_of_the_steal
,$295.0M,David Yates,"adventure,fantasy",English,"David Heyman,    David Barron,    J.K. Rowling","Warner Bros.,Heyday Films",PG-13 (Frightening Images|Brief Sensuality|Intense Action Violence),"Jul 24, 2014","Nov 19, 2010
 wide",2h 26m,"Dolby Digital, DTS, SDDS",Harry Potter and the Deathly Hallows: Part 1,Harry Potter,Steve Kloves,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_1
,$81.3K,Lance Daly,drama,English,"Macdara Kelleher,    Lance Daly,    Tomas Eskilsson,    Malte Forssell","Fastnet Films,Irish Film Board,Film i Väst",,"Oct 26, 2010","Jul 16, 2010
 limited",1h 16m,Dolby Digital,Kisses,,Lance Daly,https://www.rottentomatoes.com/m/kisses2008
,$304.1K,Christopher Morris,"drama,comedy",English,,,R (Some Sexual References|Language Throughout),"Feb 7, 2017","Nov 5, 2010
 limited",1h 42m,,Four Lions,,"Jesse Armstrong,    Sam Bain,    Christopher Morris",https://www.rottentomatoes.com/m/four_lions
,$711.0K,Philipp Stölzl,"drama,history,adventure",French (Canada),"Danny Krausz,    Boris Schönfelder,    Rudolf Santschi,    Benjamin Herrmann",DOR Film-West Produktionsgesellschaft mbH,,"Aug 10, 2016","Jan 29, 2010
 limited",2h 6m,Dolby Digital,North Face,,"Christoph Silber,    Rupert Henning,    Philipp Stölzl,    Johannes Naber",https://www.rottentomatoes.com/m/north_face
,$5.0M,Luca Guadagnino,"drama,romance",Italian,,Rai Cinema,R (Sexuality|Nudity),"Sep 28, 2016","Jun 18, 2010
 limited",1h 59m,,I Am Love,,"Barbara Alberti,    Walter Fasano,    Luca Guadagnino",https://www.rottentomatoes.com/m/i_am_love
,$6.7M,Raymond De Felitta,comedy,English,"Raymond De Felitta,    Andy Garcia",Lucky Monkey Pictures,PG-13 (Sexual Content|Language|Smoking),"Nov 30, 2016","Mar 19, 2010
 limited",1h 43m,,City Island,,Raymond De Felitta,https://www.rottentomatoes.com/m/city_island
,$7.5M,"Jay Duplass,    Mark Duplass","drama,comedy,romance",English,Michael Costigan,Scott Free Productions,R (Some Sexual Material|Language),"Nov 25, 2015","Jul 16, 2010
 wide",1h 31m,"SDDS, Dolby Digital, DTS",Cyrus,,"Jay Duplass,    Mark Duplass",https://www.rottentomatoes.com/m/cyrus
,$3.2M,"Ariel Schulman,    Henry Joost",documentary,English,"Henry Joost,    Ariel Schulman,    Andrew Jarecki,    Marc Smerling","Supermarche,Hit the Ground Running",PG-13 (Some Sexual References),"Feb 12, 2014","Oct 29, 2010
 wide",1h 28m,,Catfish,,,https://www.rottentomatoes.com/m/catfish
,$119.2M,Adam McKay,"action,comedy",English,"Will Ferrell,    Adam McKay,    Jimmy Miller","Mosaic,Gary Sanchez Productions",PG-13 (Language|Crude and Sexual Content|Some Drug Material|Violence),"May 1, 2012",,1h 47m,"SDDS, Dolby Digital, DTS",The Other Guys,,"Adam McKay,    Chris Henchy",https://www.rottentomatoes.com/m/other_guys
,$48.0M,Matthew Vaughn,"action,comedy",English,"Matthew Vaughn,    Brad Pitt,    Tarquin Pack,    Kris Thykier,    David Reid,    Adam Bohling","Marv Films,Plan B Entertainment",R (Pervasive Language|Nudity|Strong Brutal Violence|Sexual Content|Some Drug Use|Some Involving Children),"May 3, 2012","Apr 16, 2010
 wide",1h 57m,"SDDS, Dolby Digital, DTS",Kick-Ass,,"Matthew Vaughn,    Jane Goldman",https://www.rottentomatoes.com/m/1217700-kick_ass
Scope (2.35:1),$9.5M,Doug Liman,"drama,mystery and thriller",English,"Bill Pohlad,    Janet Zucker,    Jerry Zucker,    Akiva Goldsman,    Doug Liman,    Jez Butterworth","Zucker Productions,River Road,Hypnotic,Weed Road Pictures",PG-13 (Some Language),"Dec 17, 2015","Nov 19, 2010
 wide",1h 47m,"DTS, Dolby Digital, SDDS",Fair Game,,"Jez Butterworth,    John-Henry Butterworth",https://www.rottentomatoes.com/m/fair-game-2010
,$1.4M,Sam Taylor-Johnson,"drama,biography",English,"Robert Bernstein,    Kevin Loader,    Douglas Rae",,R (Language|A Scene of Sexuality),"Mar 9, 2014","Oct 8, 2010
 limited",1h 37m,,Nowhere Boy,,Matt Greenhalgh,https://www.rottentomatoes.com/m/nowhere_boy
,$530.4K,Stéphane Brizé,drama,French (Canada),"Miléna Poylo,    Gilles Sacuto",,,"Dec 23, 2015",,1h 41m,,Mademoiselle Chambon,,"Stéphane Brizé,    Florence Vignon",https://www.rottentomatoes.com/m/mademoiselle_chambon
,$1.1M,Nigel Cole,"drama,comedy,biography",English,"Elizabeth Karlsen,    Stephen Woolley","Stephen Woolley,Number 9 Films,Ellen M. Krass Productions",R (Language|Brief Sexuality),"Apr 16, 2012","Nov 19, 2010
 limited",1h 53m,Dolby Digital,Made in Dagenham,,William Ivory,https://www.rottentomatoes.com/m/made_in_dagenham
,$551.7K,Jean-François Richet,"action,biography,mystery and thriller,drama,crime",French (France),Thomas Langmann,"Téléfilm Canada,Région Haute-Normandie,Cinémage 2,Novo RPI,La Petite Reine,Banque Populaire Images 8,Remstar Productions,120 Films,M6 Films,Angoa-Agicoa,Uni Étoile 5,Société de Développement des Entreprises Culturelles (SODEC),Uni Etoile 4,Procirep,Canal+,Centre National de la Cinematographie,TPS Star",R (Some Sexual Content|Language|Strong Brutal Violence),"Aug 10, 2016",,1h 53m,,Mesrine: Part 1 - Death Instinct,,"Abdel Raouf Dafri,    Jean-François Richet",https://www.rottentomatoes.com/m/mesrine_killer_instinct
,$167.0K,J Blakeson,mystery and thriller,English,Adrian Sturges,Isle of Man Film,R (Pervasive Language|Nudity|Some Sexuality|Violent Content),"Nov 1, 2016","Aug 6, 2010
 limited",1h 40m,,The Disappearance of Alice Creed,,J Blakeson,https://www.rottentomatoes.com/m/disappearance_of_alice_creed
,$174.9K,Alex Gibney,documentary,English,"Zena Barakat,    Alison Ellwood",Jigsaw Prods.,R (Some Language),"Nov 15, 2016","May 7, 2010
 limited",2h,,Casino Jack and the United States of Money,,Alex Gibney,https://www.rottentomatoes.com/m/casino_jack_and_the_united_state_of_money
,$128.5K,Kim Jee-woon,"western,action,adventure",Japanese,Jae-Won Choi,,R (Some Drug Use|Nonstop Violence),"Apr 1, 2017","Apr 23, 2010
 limited",2h 7m,,"The Good, the Bad, the Weird",,,https://www.rottentomatoes.com/m/the_good_the_bad_the_weird
,$275.1K,Jean-François Richet,"action,biography,mystery and thriller,drama,crime",English,"Thomas Langmann,    Maxime Rémillard,    Andre Rouleau","120 Films,Région Haute-Normandie,Remstar Productions,Uni Etoile 4,Cinémage 2,Centre National de la Cinematographie,M6 Films,Natixis Coficiné,Uni Étoile 5,La Petite Reine,Canal+,Pathé,Banque Populaire Images 8,TPS Star",R (Bloody Brutal Violence|A Scene of Sexuality|Nudity|Pervasive Language),"Mar 7, 2017",,2h 10m,,Mesrine: Part II - Public Enemy 1,,"Abdel Raouf Dafri,    Jean-François Richet",https://www.rottentomatoes.com/m/mesrine_public_enemy_1
,$1.6M,Ruba Nadda,"drama,romance",English,"David Collins,    Daniel Iron",Foundry Films,PG (Smoking|Mild Thematic Elements),"Sep 27, 2016","Aug 6, 2010
 limited",1h 28m,,Cairo Time,,Ruba Nadda,https://www.rottentomatoes.com/m/cairo_time
,$19.4M,"Jacques Perrin,    Jacques Cluzaud",documentary,French (Canada),"Nicolas Mauvernay,    Jacques Perrin","Participant Media,TPS Star,Conseil Général des Côtes d'Armor,France 2 Cinéma,Pathé,Conseil Général du Morbihan,HH Sheikha Salama bint Hamdan Al Nahyan,Conseil Régional du Calvados,Canal+,France 3 Cinéma,Procirep,Région Bretagne,Ministère du Développement Durable et de la Mer,Galatée Films,JMH-TSR,Centre national de la Cinématographie,Notro Films, S.L.,Région Basse-Normandie,Angoa-Agicoa,France Télévision",G,"Nov 11, 2016","Apr 22, 2010
 wide",1h 42m,Dolby Digital,Oceans,,"Jacques Cluzaud,    Laurent Debas,    Stéphane Durand,    Laurent Gaudé",https://www.rottentomatoes.com/m/disneynature_oceans
,$389.8K,Lena Dunham,"drama,comedy",English,"Kyle Martin,    Alicia Van Couvering",Tiny Ponies,,"Nov 30, 2016","Nov 12, 2010
 limited",1h 39m,,Tiny Furniture,,Lena Dunham,https://www.rottentomatoes.com/m/tiny_furniture-2009
,$75.8K,Tanya Hamilton,drama,English,"Ron Simons,    Sean Costello,    Jason Orans",Gigantic Pictures,R (Language|Violence|Some Sexuality),"Sep 24, 2016","Dec 3, 2010
 limited",1h 30m,,Night Catches Us,,Tanya Hamilton,https://www.rottentomatoes.com/m/night_catches_us
,$1.1M,Rodrigo Garcia,drama,English,"Lisa Falcone,    Julie Lynn",Mockingbird Pictures,R (Language|Brief Nudity|Sexuality),"Apr 16, 2012","May 7, 2010
 limited",2h 6m,,Mother and Child,,Rodrigo Garcia,https://www.rottentomatoes.com/m/mother_and_child
,$4.4M,"Brian Koppelman,    David Levien","drama,comedy",English,"Paul Schiff,    Steven Soderbergh,    Heidi Jo Markel","Nu Image,Paul Schiff",R (Some Sexual Content|Language),"Nov 30, 2016","May 21, 2010
 limited",1h 29m,,Solitary Man,,Brian Koppelman,https://www.rottentomatoes.com/m/solitary_man
,$312.1M,Jon Favreau,"action,fantasy,sci fi,adventure",English,Kevin Feige,Marvel Studios,PG-13 (Some Language|Intense Sci-Fi Action|Violence),"Nov 23, 2015","May 7, 2010
 wide",2h 4m,,Iron Man 2,Marvel Cinematic Universe,Justin Theroux,https://www.rottentomatoes.com/m/iron_man_2
,$4.2M,Noah Baumbach,"drama,comedy,romance",English,"Scott Rudin,    Jennifer Jason Leigh",Scott Rudin Productions,R (Language|Drug Use|Some Strong Sexuality),"May 23, 2016","Mar 19, 2010
 limited",1h 47m,,Greenberg,,Noah Baumbach,https://www.rottentomatoes.com/m/greenberg
,$271.3K,Lucy Walker,documentary,English,Lawrence Bender,"Lawrence Bender Productions,Participant Media",PG (Thematic Material|Incidental Smoking|Images of Destruction),"Feb 23, 2017","Jul 23, 2010
 limited",1h 30m,,Countdown to Zero,,,https://www.rottentomatoes.com/m/countdown_to_zero
,$17.0M,Vincenzo Natali,"horror,sci fi",English,Steven Hoban,Gaumont,R (Language|Disturbing Elements|Nudity|Sci-Fi Violence|Strong Sexuality),"May 19, 2016","Jun 4, 2010
 wide",1h 47m,Dolby Digital,Splice,,"Vincenzo Natali,    Antoinette Terry Bryant,    Doug Taylor",https://www.rottentomatoes.com/m/1208173-splice
,$21.0K,Patrick Hughes,"action,mystery and thriller",English,,"Screen Australia,Wildheart Films",R (Strong Bloody Violence|Language),"Apr 16, 2012",,1h 35m,,Red Hill,,Patrick Hughes,https://www.rottentomatoes.com/m/red_hill_2010
,$381.0M,David Yates,"fantasy,adventure",English,"David Heyman,    David Barron,    J.K. Rowling","Heyday Films,Moving Picture Company,Warner Bros.",PG-13 (Seq of Intense Action Violence|Frightening Images),"Jul 24, 2014","Jul 15, 2011
 wide",2h 11m,"SDDS, Dolby Digital",Harry Potter and the Deathly Hallows: Part 2,Harry Potter,Steve Kloves,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2_2011
,$44.7M,Michel Hazanavicius,"drama,romance",,Thomas Langmann,"uFilm,France 3 Cinéma,Studio 37,JD Prod,La Petite Reine,Jouror Productions",PG-13 (A Disturbing Image|A Crude Gesture),"Feb 4, 2014","Nov 23, 2011
 limited",1h 40m,,The Artist,,,https://www.rottentomatoes.com/m/the_artist
,$331.7K,Asghar Farhadi,drama,Persian,Asghar Farhadi,Asghar Farhadi,PG-13 (Mature Thematic Material),"Feb 12, 2014","Dec 30, 2011
 limited",2h 3m,Dolby Digital,A Separation,,Asghar Farhadi,https://www.rottentomatoes.com/m/a_separation_2011
,$75.6M,Bennett Miller,drama,English,"Michael De Luca,    Rachael Horovitz,    Brad Pitt","Scott Rudin Productions,Rachael Horovitz,Michael De Luca",PG-13 (Some Strong Language),"Sep 3, 2013","Sep 23, 2011
 wide",2h 13m,,Moneyball,,"Steven Zaillian,    Aaron Sorkin",https://www.rottentomatoes.com/m/moneyball
,$88.6M,James Bobin,"comedy,kids and family",English,"David Hoberman,    Todd Lieberman",Walt Disney Studios,PG (Some Mild Rude Humor),"Nov 23, 2015","Nov 23, 2011
 wide",1h 38m,,The Muppets,,"Jason Segel,    Nicholas Stoller",https://www.rottentomatoes.com/m/the_muppets
,$209.4M,Brad Bird,"action,mystery and thriller,adventure",English,"Tom Cruise,    J.J. Abrams,    Bryan Burk",Bad Robot,PG-13 (Seq of Intense Action Violence),"Jun 6, 2014","Dec 21, 2011
 wide",2h 13m,"SDDS, Dolby Digital",Mission: Impossible -- Ghost Protocol,,"Josh Appelbaum,    Andre Nemec",https://www.rottentomatoes.com/m/mission_impossible_ghost_protocol
,$355.0K,Chang-dong Lee,drama,Korean,Jun-dong Lee,UniKorea Pictures,,"Aug 10, 2016",,2h 19m,,Poetry,,Chang-dong Lee,https://www.rottentomatoes.com/m/poetry_2010
,$195.3K,Aki Kaurismäki,"drama,comedy",French (Canada),Aki Kaurismäki,"Pandora Filmproduktion GmbH,Pyramid Productions Inc.,Sputnik Oy",,"Aug 10, 2016",,1h 43m,,Le Havre,,Aki Kaurismäki,https://www.rottentomatoes.com/m/le_havre_2011
,$250.5K,Steve James,"drama,documentary,crime",English,"Steve James,","Kartemquin Films,Rise Films",,"Mar 1, 2016","Jul 29, 2011
 limited",2h 5m,,The Interrupters,,,https://www.rottentomatoes.com/m/the_interrupters_2011
,$410.1K,James Marsh,documentary,English,Simon Chinn,Red Box Films,PG-13 (Drug Content|Disturbing Images|Some Strong Language|Thematic Elements),"Nov 30, 2016","Jul 8, 2011
 limited",1h 39m,,Project Nim,,,https://www.rottentomatoes.com/m/project_nim
,,"Lev Anderson,    Chris Metzler","documentary,music",English,"Lev Anderson,    Chris Metzler",Pale Griot,,"Dec 5, 2015","Oct 7, 2011
 limited",1h 47m,,Everyday Sunshine: The Story of Fishbone,,,https://www.rottentomatoes.com/m/everyday_sunshine_the_story_of_fishbone_2011
,,Patricio Guzmán,drama,French (Canada),"Meike Martens,    Renate Sachse",,,"May 10, 2016",,1h 30m,,Nostalgia for the Light,,,https://www.rottentomatoes.com/m/nostalgia_for_the_light
,$1.5M,Richard Press,documentary,English,Philip Gefter,First Thought Films,,"Dec 21, 2016","Mar 16, 2011
 limited",1h 24m,,Bill Cunningham New York,,,https://www.rottentomatoes.com/m/bill_cunningham_new_york_2010
,,"David Weissman,    Bill Weber","drama,documentary,history,biography",English,David Weissman,Weissman Projects,,"Mar 23, 2017","Sep 9, 2011
 limited",1h 30m,,We Were Here,,,https://www.rottentomatoes.com/m/we_were_here_voices_from_the_aids_years_in_san_francisco
,$906.7K,Joseph Dorman,documentary,English,,,,"Mar 30, 2016","Jul 8, 2011
 limited",1h 33m,,Sholem Aleichem: Laughing in the Darkness,,,https://www.rottentomatoes.com/m/sholem_aleichem_laughing_in_the_darkness_2011
,$35.1M,Nicolas Winding Refn,"drama,action,crime",English,"Marc Platt,    Adam Siegel,    Gigi Pritzker,    Michel Litvak,    John Palermo","Marc Platt Productions,Motel Movies",R (Some Nudity|Language|Strong Brutal Bloody Violence),"May 7, 2013","Sep 16, 2011
 wide",1h 40m,,Drive,,Hossein Amini,https://www.rottentomatoes.com/m/drive_2011
,$54.7M,Duncan Jones,"action,sci fi,mystery and thriller",English,"Mark Gordon,    Philippe Rousselet,    Jordan Wynn",Mark Gordon Productions,PG-13 (Language|Disturbing Images|Some Violence),"Dec 20, 2015","Apr 1, 2011
 wide",1h 29m,Dolby Digital,Source Code,,Ben Ripley,https://www.rottentomatoes.com/m/source_code
,$73.8M,Martin Scorsese,"fantasy,drama,adventure",English,"Graham King,    Tim Headington,    Martin Scorsese,    Johnny Depp",GK Films,PG (Smoking|Mild Thematic Material|Some Action/Peril),"Jun 6, 2014","Nov 23, 2011
 wide",2h 6m,"SDDS, Dolby Digital",Hugo,,John Logan,https://www.rottentomatoes.com/m/hugo
,$56.8M,Woody Allen,"fantasy,romance",English,"Letty Aronson,    Stephen Tenenbaum,    Jaume Roures",Pontchartrain,PG-13 (Some Sexual References|Smoking),"May 7, 2013","Jun 10, 2011
 wide",1h 34m,Dolby Digital,Midnight in Paris,,Woody Allen,https://www.rottentomatoes.com/m/midnight_in_paris
,$5.2M,Werner Herzog,documentary,English,,"Ministère de la Culture et de la Communication,Arte France,Werner Herzog Filmproduktion,History",G,"Feb 7, 2016","Apr 29, 2011
 limited",1h 30m,,Cave of Forgotten Dreams,,Werner Herzog,https://www.rottentomatoes.com/m/cave_of_forgotten_dreams
,$10.2M,Tom McCarthy,"drama,comedy",English,"Mary Jane Skalski,    Michael London,    Lisa Marie Falcone","Groundswell Productions,Next Wednesday Productions",R (Language),"Nov 25, 2015","Mar 18, 2011
 limited",1h 46m,,Win Win,,Tom McCarthy,https://www.rottentomatoes.com/m/win_win_2011
,$169.1M,Paul Feig,comedy,English,"Judd Apatow,    Clayton Townsend,    Barry Mendel",Apatow Productions,R (Some Strong Sexuality|Language Throughout),"Mar 1, 2013","May 13, 2011
 wide",2h 5m,"SDDS, Dolby SRD, DTS",Bridesmaids,,"Annie Mumolo,    Kristen Wiig",https://www.rottentomatoes.com/m/bridesmaids_2011
,$35.0M,Jonathan Levine,"drama,comedy",English,"Evan Goldberg,    Seth Rogen,    Ben Karlin",Point Grey,R (Sexual Content|Language Throughout|Some Drug Use),"Jan 7, 2014","Sep 30, 2011
 wide",1h 39m,"SDDS, Dolby Digital, DTS",50/50,,Will Reiser,https://www.rottentomatoes.com/m/5050_2011
,$26.0M,David Lickley,documentary,English,Drew Fellman,Imax Filmed Entertainment,G,"Jun 1, 2013","Apr 8, 2011
 limited",40m,,Born to Be Wild,,Drew Fellman,https://www.rottentomatoes.com/m/born_to_be_wild_2011
,$802.5K,Takashi Miike,"action,history,drama,adventure",Japanese,"Minami Ichikawa,    Tôichirô Shiraishi,    Michihiko Yanagisawa","TV Asahi,Recorded Picture Company (RPC),Dentsu,Asahi Broadcasting Corporation,Toho Company Ltd.",R (Some Disturbing Images|Sequences of Bloody Violence|Brief Nudity),"Jan 7, 2017","Apr 29, 2011
 limited",2h 6m,,13 Assassins,,Daisuke Tengan,https://www.rottentomatoes.com/m/13_assassins_2011
,$758.1K,Dee Rees,drama,English,Nekisa Cooper,"Northstar,Pariah Films",R (Sexual Content|Language),"May 7, 2015","Dec 28, 2011
 limited",1h 26m,,Pariah,,Dee Rees,https://www.rottentomatoes.com/m/pariah_2011
,$5.4M,John Michael McDonagh,"comedy,mystery and thriller",English,"Chris Clark,    Flora Fernandez-Marengo,    Ed Guiney,    Andrew Lowe","Reprisal Films,UK Film Council,Element Films",R (Pervasive Language|Drug Material|Sexual Content|Some Violence),"Feb 25, 2014","Jul 29, 2011
 limited",1h 35m,Dolby Digital,The Guard,,John Michael McDonagh,https://www.rottentomatoes.com/m/the_guard_2011
,$3.5M,Wim Wenders,documentary,German,"Gian-Piero Ringel,    Wim Wenders","Eurowide Film Production,Neue Road Movies",PG (Some Sensuality/Partial Nudity|Smoking),"Jan 17, 2017","Jan 20, 2012
 limited",1h 44m,Dolby Digital,Pina,,Wim Wenders,https://www.rottentomatoes.com/m/pina_3d
,$113.8K,Céline Sciamma,drama,French (Canada),Bénédicte Couvreur,,,"Feb 5, 2015",,1h 24m,,Tomboy,,Céline Sciamma,https://www.rottentomatoes.com/m/tomboy_2011
,$469.9K,Andrew Haigh,"drama,romance",English,Tristan Goligher,,,"Sep 27, 2016","Sep 23, 2011
 limited",1h 36m,,Weekend,,Andrew Haigh,https://www.rottentomatoes.com/m/weekend_2011
,,Sarah Smith,,,,,,,,,,Arthur Christmas,,,https://www.rottentomatoes.com/m/arthur_christmas
,$1.7M,Jeff Nichols,"drama,mystery and thriller",English,"Tyler Davidson,    Sophia Lin",Strange Matter Films,R (Some Language),"Feb 25, 2014","Sep 30, 2011
 limited",2h 4m,,Take Shelter,,Jeff Nichols,https://www.rottentomatoes.com/m/take_shelter
,$304.1K,Constance Marks,documentary,English,"Constance Marks,    Corinne LaPook,    James J. Miller",,PG (Some Mild Language|A Brief Drug Reference),"Dec 5, 2016","Oct 21, 2011
 limited",1h 25m,,Being Elmo: A Puppeteer's Journey,,"Philip Shane,    Justin Weinstein",https://www.rottentomatoes.com/m/being_elmo_a_puppeteers_journey
,,Alexsey Fedorchenko,drama,Russian,"Igor Mishin,    Mary Nazari","Aprel Mig Pictures,Media Mir Foundation",,"Oct 26, 2016",,1h 15m,,Silent Souls,,Denis Osokin,https://www.rottentomatoes.com/m/silent_souls
,$21.3K,Clio Barnard,drama,English,Tracy O'Riordan,,,"Feb 18, 2016","Apr 27, 2011
 limited",1h 34m,,The Arbor,,,https://www.rottentomatoes.com/m/the_arbor_2010
,$3.0M,Sean Durkin,"drama,mystery and thriller",English,"Josh Mond,    Antonio Campos,    Chris Maybach,    Patrick Cunningham",Fox Searchlight,R (Disturbing Violent Content|Disturbing Sexual Content|Language|Nudity),"Nov 25, 2015","Oct 21, 2011
 limited",1h 41m,,Martha Marcy May Marlene,,Sean Durkin,https://www.rottentomatoes.com/m/martha_marcy_may_marlene
,$82.6M,Alexander Payne,"drama,comedy",English,"Jim Burke,    Alexander Payne,    Jim Taylor","Dune,Ad Hominem Enterprises,Ingenious Film Partners,Little Blair",R (Sexual References|Language),"Nov 25, 2015","Nov 23, 2011
 wide",1h 55m,"Dolby, SDDS",The Descendants,,"Alexander Payne,    Nat Faxon,    Jim Rash",https://www.rottentomatoes.com/m/the_descendants_2011
,$756.5K,Ralph Fiennes,"drama,war",English,"Ralph Fiennes,    John Logan,    Gabrielle Tana,    Julia Taylor-Stanley,    Colin Vaines",Lonely Dragon,R (Some Bloody Violence),"Mar 21, 2017","Jan 20, 2012
 limited",2h 2m,,Coriolanus,,John Logan,https://www.rottentomatoes.com/m/coriolanus_2010
,$1.6M,Asif Kapadia,documentary,English,,"Universal Pictures,Working Title Films,StudioCanal",PG-13 (Some Strong Language|Disturbing Images),"Aug 10, 2016","Aug 12, 2011
 limited",1h 44m,,Senna,,Manish Pandey,https://www.rottentomatoes.com/m/senna
