Aspect Ratio:,Box Office (Gross USA):,Director:,Genre:,Original Language:,Producer:,Production Co:,Rating:,Release Date (Streaming):,Release Date (Theaters):,Runtime:,Sound Mix:,Title:,View the collection:,Writer:,url
Flat (1.85:1),$1.1M,Miguel Arteta,"drama,comedy",English,Matthew Greenfield,"Artisan Entertainment,Blow Up Pictures,Toga Productions,Flan de Coco Films",R (Language|Sexuality),"Apr 19, 2016",,1h 39m,Dolby,Chuck & Buck,,,https://www.rottentomatoes.com/m/chuck_and_buck
Flat (1.85:1),$38.2M,Spike Lee,"documentary,comedy",English,Walter Latham,"MTV Films,40 Acres & A Mule Filmworks,Latham Entertainment",R (Language and Sex Related Humor),"Jul 1, 2013","Aug 18, 2000
 wide",1h 55m,"Surround, Dolby Digital, DTS",The Original Kings of Comedy,,"Cedric the Entertainer,    Steve Harvey,    D.L. Hughley",https://www.rottentomatoes.com/m/original_kings_of_comedy
Scope (2.35:1),$19.4M,Curtis Hanson,"drama,comedy",English,"Curtis Hanson,    Scott Rudin","Marubeni Corporation,Curtis Hanson Productions,Mutual Film Company,Scott Rudin Productions,MFF,Paramount Pictures,BBC",R (Language|Drug Content),"Nov 30, 2016","Feb 25, 2000
 wide",1h 52m,"Dolby Digital, DTS, Surround",Wonder Boys,,Steve Kloves,https://www.rottentomatoes.com/m/wonder_boys
,$443.2K,Claude Chabrol,mystery and thriller,French (France),Marin Karmitz,"L'Office Federal de la Culture,Radio Télévision Suisse Romande",,"Feb 18, 2016",,1h 39m,"Dolby SR, Dolby Digital, Dolby A, Surround",Nightcap,,,https://www.rottentomatoes.com/m/merci_pour_le_chocolat
Scope (2.35:1),$27.4M,Gina Prince-Bythewood,romance,English,"Sam Kitt,    Spike Lee",40 Acres & A Mule Filmworks,PG-13 (Sexuality|Language),"Dec 1, 2008","Apr 21, 2000
 wide",2h 4m,"Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",Love & Basketball,,,https://www.rottentomatoes.com/m/love_and_basketball
Flat (1.85:1),$241.8K,David Gordon Green,drama,English,"David Gordon Green,    Sacha W. Mueller,    Lisa Muskat","Y Production,Blue Moon Productions,Down Home Entertainment,Code Red,Youandwhatarmy Filmed Challenges",,"Mar 23, 2017",,1h 30m,"Dolby Stereo, Dolby SR",George Washington,,,https://www.rottentomatoes.com/m/1097991-george_washington
Flat (1.85:1),$3.0M,Terence Davies,"drama,history",English,Olivia Stewart,"Showtime Networks Inc.,Granada Film Productions,Channel 4 Television Corporation,Kinowelt Filmproduktion [de],National Lottery,Progress,Scottish Arts Council,Diaphana Films,Glasgow Film Fund,Arts Council of England,FilmFour,Three Rivers Productions",PG (Thematic Material),"May 29, 2001",,2h 23m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",The House of Mirth,,Terence Davies,https://www.rottentomatoes.com/m/house_of_mirth
Scope (2.35:1),$3.3M,Jim Jarmusch,"drama,crime",English,"Richard Guay,    Jim Jarmusch","Le Studio Canal +,Pandora Filmproduktion GmbH,Plywood Productions,Bac Films,JVC Entertainment,Degeto Film",R (Strong Violence|Language),"Oct 12, 2016",,1h 56m,"Surround, Dolby Digital",Ghost Dog: The Way of the Samurai,,,https://www.rottentomatoes.com/m/ghost_dog_the_way_of_the_samurai
Flat (1.85:1),$8.6M,Ed Harris,drama,English,"Fred Berner,    Ed Harris,    Jon Kilik","Pollock Films,Brant-Allen,Zeke Productions,Fred Berner Films",R (Language|Brief Sexuality),"Apr 16, 2012",,1h 58m,"Surround, Dolby Stereo",Pollock,,,https://www.rottentomatoes.com/m/pollock
Scope (2.35:1),$187.7M,Ridley Scott,"drama,action,history,adventure",English,"David Franzoni,    Branko Lustig","Universal Pictures,Scott Free Productions,DreamWorks Pictures",R (Intense Graphic Combat),"Aug 1, 2013","May 5, 2000
 wide",2h 34m,"Dolby Stereo, DTS, SDDS, Dolby EX, Surround, Dolby Digital, Dolby SR",Gladiator,,"John Logan,    David Franzoni,    William Nicholson",https://www.rottentomatoes.com/m/gladiator
Flat (1.85:1),$3.6M,Darren Aronofsky,drama,English,,"Thousand Words,Industry Entertainment,Truth and Soul Pictures,Bandeira Entertainment,Requiem for a Dream LLC,Artisan Entertainment,Protozoa Pictures,Sibling Productions",R,"Dec 6, 2015","Oct 27, 2000
 wide",1h 41m,"Dolby SR, Dolby Digital, Surround",Requiem for a Dream,,,https://www.rottentomatoes.com/m/requiem_for_a_dream
,$5.2K,Joe Mantegna,drama,English,"Joe Mantegna,    Tony Mamet,    Morris Ruskin",RKO Pictures,R,"Sep 3, 2017","Apr 13, 2001
 limited",1h 38m,,Lakeboat,,,https://www.rottentomatoes.com/m/lakeboat
Scope (2.35:1),$56.9M,Tom Dey,"action,comedy,western,adventure",English,"Gary Barber,    Roger Birnbaum,    Jonathan Glickman","Roger Birnbaum Productions,Touchstone Pictures,Jackie Chan Films,Spyglass Entertainment",PG-13 (Sensuality|Drug Content|Violence),"Dec 10, 2015","May 26, 2000
 wide",1h 50m,"Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",Shanghai Noon,,,https://www.rottentomatoes.com/m/shanghai_noon
"Flat (1.85:1), Digital Projection",$60.5M,"James Algar,    Gaëtan Brizzi,    Paul Brizzi,    Hendel Butoy,    Francis Glebas,    Eric Goldberg,    Don Hahn,    Pixote Hunt","music,animation,kids and family,musical",English,,Walt Disney Productions,G,"May 5, 2017","Jan 1, 2000
 wide",1h 15m,"Dolby Digital, Dolby SR, Surround, SDDS, DTS",Fantasia 2000,,,https://www.rottentomatoes.com/m/fantasia_2000
,$455.9K,Tran Anh Hung,drama,Vietnamese,,Hang Phim Truyen,PG-13 (Some Sex-Related Material|Thematic Elements),"Nov 6, 2012","Jul 6, 2001
 wide",1h 52m,"Dolby Stereo, Dolby Digital, Dolby A, Stereo, DTS, Dolby SR",At the Height of Summer,,,https://www.rottentomatoes.com/m/the_vertical_ray_of_the_sun
Scope (2.35:1),$45.5M,Joel Coen,"drama,comedy",English,Ethan Coen,"Mike Zoss Productions,Working Title Films,Touchstone Pictures,Le Studio Canal +,Universal Pictures,Buena Vista Pictures",PG-13 (Violence|Language),"Dec 13, 2015","Dec 22, 2000
 wide",1h 46m,"Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR","O Brother, Where Art Thou?",,,https://www.rottentomatoes.com/m/o_brother_where_art_thou
,$90.4M,Clint Eastwood,"drama,comedy,adventure",English,"Clint Eastwood,    Andrew Lazar","Malpaso Company,Village Roadshow Prod.,Mad Chance,Clipsal Films",PG-13 (Language),"Jun 17, 2009","Aug 4, 2000
 wide",2h 9m,"SDDS, Dolby Digital, DTS, Surround",Space Cowboys,,,https://www.rottentomatoes.com/m/space_cowboys
Flat (1.85:1),$4.3M,Jenniphr Goodman,romance,English,Anthony Bregman,"Good Machine,Thunderhead Productions",R (Language|Drug Use),"Apr 16, 2012",,1h 28m,"Dolby Stereo, Dolby Digital, Surround",The Tao of Steve,,,https://www.rottentomatoes.com/m/tao_of_steve
